id,menu-order,name,touchimage,bioimage,content
1,18,Grace Nail Johnson,01gnjohnson.jpg,b01gnjohnson.jpg,"<i>Photographed by Van Vechten December 3, 1932</i><br><br> Today, Grace Nail Johnson is best known as the wife of James Weldon Johnson. She was, however, a powerful advocate for social change in her own right. Like her husband, Johnson was committed to encouraging African American writers and artists and to supporting research in African American culture. <br> <br> The daughter of a wealthy and well-respected New York family, Grace Nail met her future husband when she was a teenager. After they married in 1910, Grace Johnson joined her husband at his diplomatic post in Corinto, Nicaragua. The people of Corinto welcomed her with an unusual gift—a yellow parrot named LuLu. She kept the pet for the rest of her life. LuLu, in fact, outlived Johnson by some twenty years. <br> <br> The Johnsons became central figures of the Harlem Renaissance. Grace Johnson was a celebrated hostess, entertaining the African American political and artistic elite. In addition, she supported a number of important civil rights groups, fighting for equal job opportunities for men and women of color, and for equal pay for African American workers. Due to her valuable work, high profile, and generous spirit, Johnson became a mentor to many younger African American women. <br> <br> When James Weldon Johnson was killed in a car accident in 1938, Grace Johnson continued to promote the ideal of social justice to which he had dedicated his life. As a result of her work, many schools, community centers, and housing complexes bear his name. In support of Carl Van Vechten’s idea to memorialize James Weldon Johnson by establishing a research center, she made a gift of her husband’s papers to Yale University to establish the James Weldon Johnson Memorial Collection of Negro Arts and Letters."
2,22,Claude McKay,02mckay.jpg,b02mckay.jpg,"<i>Photographed by Van Vechten July 25, 1941</i><br><br> The writer and activist Claude McKay considered himself “a vagabond with a purpose.” The phrase aptly evokes the exploratory sensibility that pervaded his life and work. A key Harlem Renaissance figure, he spent little actual time in Harlem, preferring instead to travel the world. Born in Sunny Ville, Jamaica in 1889, McKay first visited the United States in 1912, and also lived in Holland, Belgium, France, the Soviet Union, and Morocco over the course of his adventurous life.<br><br>McKay’s transnational travels informed his politics. He had a deep sense of solidarity with people of African descent around the world, and developed an interest in Communism in the early 1920s (although he never committed fully to the ideology). His politics, in turn, shaped his art. McKay’s 1919 poem “If We Must Die,” which J. A. Rogers called the “Negro Marseillaise,” stands as one of the iconic literary works of the Renaissance. The poem is a call to action: <br><blockquote>If we must die, let it not be like hogs<br>Hunted and penned in an inglorious spot…<br>Like men we'll face the murderous, cowardly pack<br>Pressed to the wall, dying, but fighting back!</blockquote> In addition to poetry, McKay also wrote novels, short stories, and essays. While critical reception of these works was largely positive, it was not unanimous: W. E. B. Du Bois famously wrote of McKay’s novel <i>Home to Harlem</i> that it “for the most part nauseates me, and after the dirtier parts of its filth I feel distinctly like taking a bath.” After McKay’s death in 1948, his reputation declined somewhat due to the explicitly activist nature of his art – he disdained the idea “that Negroes in literature and art should be decorous and decorative” – and his radical politics. Today, however, he is recognized as one of the era’s most significant voices. "
3,7,John W. Bubbles,03bubbles.jpg,b03bubbles.jpg,"<i>Photographed by Van Vechten December 27, 1935</i><br><br>John Sublett, better known by his stage name John W. Bubbles, was a tap dancer, singer, and vaudeville star. He began performing as a child in Louisville, Kentucky. When he met Ford Lee Washington in 1915, the two (both still teenagers at the time) formed a vaudeville duo known as “Bubbles and Buck.” Within a few years, they secured a coveted engagement at the Palace Theatre, the most famous stage in New York City vaudeville. Their stature allowed them to bypass the grueling Theater Owners’ Booking Association (or T.O.B.A.) circuit on which most black vaudevillians toured. Instead, Bubbles and Buck performed at theaters across the country that typically featured only white artists – including Radio City Music Hall, where they became the venue’s first African American performers. They earned up to $1,750 per week, one of the highest salaries in the business. <br><br>Bubbles pioneered the rhythm style of tap dance. He dropped his heels on the offbeats, used his toes to accent syncopations, and lengthened rhythmic patterns beyond the typical eight-bar phrase. These innovations set him apart from other dancers of the day, who tended to dance on their toes and stay within the confines of short musical phrases. He often improvised his breathtakingly complex dances, a practice which amazed his audiences and vexed dancers who sought to copy his steps. <br><br>In 1935, George Gershwin offered Bubbles the part of Sportin’ Life in the premiere of <i>Porgy and Bess</i> (Buck Washington was also in the cast, playing the role of Mingo). The role made him even more of a star, and he went on to perform with Judy Garland, Bob Hope, and others. In 1967, Bubbles suffered a stroke that left him partially paralyzed, but he continued to make occasional appearances. He died in 1986 at his southern California home.   "
4,6,William Stanley Braithwaite,04braithwaite.jpg,b04braithwaite.jpg,"<i>Photographed by Van Vechten March 27, 1947</i><br><br>In <i>The Book of American Negro Poetry</i>, James Weldon Johnson declared William Stanley Braithwaite “unique among all the Aframerican writers the United States has yet produced” and proclaimed that “no future study of American poetry of this age can be made without reference to Braithwaite.” Johnson’s confidence may have been misplaced. Many such “future stud[ies]” have neglected Braithwaite because he chose not to foreground race in his literary work, unlike many other Harlem Renaissance-era poets. His myriad accomplishments, however, render him as an influential figure in African American letters. <br><br>Braithwaite was born in Boston in 1878; his father was from the West Indies and his mother was the descendant of slaves. After leaving school at age 12, he became a publisher’s apprentice and developed an interest in poetry. He published his first volume of poems, <i>Lyrics of Life and Love</i>, in 1904. Strongly influenced by British traditions, Braithwaite’s poetry makes use of conventional forms like the sonnet and deals with Romantic themes. <br><br>Braithwaite was also an editor, critic, and anthologist. In 1905, he was appointed literary critic at the <i>Boston Evening Transcript</i>, a position he held for more than two decades. Beginning in 1921, he published an annual <i>Anthology of Magazine Verse</i> that promoted poets from Sterling Brown and Langston Hughes to Edgar Lee Masters and Carl Sandburg. If his fellow black poets were sometimes skeptical of Braithwaite’s decision not to focus on race and racialized subjects, he was equally skeptical of their work, which he considered “caught between the currents of the poetry of protest and the poetry of expression.” He remained convinced that the future of black American poetry lay in its aspirations toward universalism, and urged black poets to “write about the Negro without the surrender or compromise of the artist’s vision.”"
5,11,W. E. B. Du Bois,05dubois.jpg,b05dubois.jpg,"<i>Photographed by Van Vechten July 18, 1946</i><br><br>W. E. B. Du Bois is a towering figure in African American history. A scholar, writer, and activist, he was a leading advocate for racial justice within and beyond the United States. Born in Great Barrington, Massachusetts, in 1868, Du Bois studied at Fisk University and the University of Berlin before receiving his Ph.D. from Harvard. From 1898 to 1910, he taught sociology at Atlanta University. <br><br>“The problem of the Twentieth Century is the problem of the color-line,” Du Bois declared in his early masterpiece, <i>The Souls of Black Folk</i> (1903). It was an insight that would serve as an organizing principle for his diverse intellectual output. Unlike other black thinkers, notably Booker T. Washington, Du Bois rejected the idea that assimilation could lead to true success for African Americans, and called instead for full and equal citizenship. In another major work, <i>Black Reconstruction</i> (1935), he argued that enslaved people effectively freed themselves during the Civil War. Du Bois put his theories into practice as a political leader. He was instrumental to the founding of the Niagara Movement and its successor, the NAACP. He was also deeply involved in black internationalism, helping to lead Pan-Africanist Congresses from 1900 to 1945. <br><br>To Du Bois, art and politics were profoundly connected. In a 1926 essay, he famously argued that “All art is propaganda and ever must be,” and that art and the world around it are “unseparated and inseparable.” Accordingly, his own novels, short stories, pageants and plays expand upon the themes of his political work. Concomitantly, though, his taste for high culture and glorification of the Talented Tenth (his term for a class of exceptional artists and intellectuals) led some to accuse him of elitism. <br><br>As he became disillusioned with the moderate stance and slow pace of civil rights activism in the United States, Du Bois became increasingly radical. He was unintimidated by the U.S. government’s unsuccessful attempts to deny him a passport, and traveled extensively throughout the Soviet Union, Europe, and China, finally settling in Ghana after joining the Communist Party in 1961. His death, in August 1963, came on the eve on the March on Washington – a powerful symbol of his role in the enduring struggle for civil rights.  "
6,17,Zora Neale Hurston,06hurston.jpg,b06hurston.jpg,"<i>Photographed by Van Vechten April 3, 1935</i><br><br>The author of novels, short stories, scholarly studies of African American, Haitian, and Jamaican folklore, and autobiographical writing, Zora Neale Hurston is among the most celebrated writers of the Harlem Renaissance. Hurston’s warmth and charm, along with her vibrant personality, made her one of the best-liked members of the 1920s Harlem literary elite. That Hurston gave this set the sobriquet “niggerati” is evidence of her considerable wit. <br><br>Raised in the all-black town of Eatonville, Florida, Hurston moved north in her early thirties, though she told new acquaintances she was in her early twenties. She spent a year at Howard University studying with Alain Locke before going on to Barnard College, where she also studied anthropology and folklore. After completing her bachelor’s degree, Hurston received a grant to travel throughout the South studying African American folk traditions. This research led to numerous scholarly articles and the book <i>Mules and Men</i>. Hurston also incorporated her research into her novels, <i>Jonah’s Gourd Vine</i> (1934) and <i>Their Eyes Were Watching God</i> (1937). She wrote dramatic pieces, too, and contributed to African American revues. She collaborated briefly with Langston Hughes on a play, <i>Mule Bone</i>. The project led to a deep conflict between the two writers and wasn’t produced until 1991, when it played at the Lincoln Center Theater in New York. Carl Van Vechten wrote of Hurston, with whom he shared a close friendship, “Zora is picturesque, witty, electric, indiscreet, and unreliable. The latter quality offers material for discussion; the former qualities induce her friends to forgive and love her.” <br><br>Hurston returned to Eatonville toward the end of her life. She withdrew from the literary scene and worked as a domestic in the home of a white family. She died in Eatonville in relative obscurity. Hurston’s work returned to popularity in the 1970s in large part through the efforts of African American writers and scholars."
7,2,Josephine Baker,07baker.jpg,b07baker.jpg,"<i>Photographed by Van Vechten October 20, 1949</i><br><br>“I improvised, crazed by the music…[in] the scorching eye of the spotlights.” Josephine Baker’s words refer to her sensational dancing, but the sentiment applies to her life writ large. In a society hostile to black women’s success, Baker improvised an artistic persona and a complex life. Throughout, she was the perpetual subject of intense scrutiny. <br><br> Born Freda Josephine McDonald in St. Louis in 1906, Baker began her career in the United States, where she toured with vaudeville troupes and joined the chorus of <i>Shuffle Along</i>. Upon moving to Paris in 1925, she ascended to stardom. In <i>La Revue Nègre</i>, she shimmied, kicked, mugged, clowned, and slid her way through her signature <i>danse sauvage</i>. In live performances and the film <i>La folie du jour</i>, she danced in her infamous banana skirt, accompanied by black male drummers and gazed at by largely white audiences After touring 25 countries in 1928 and 1929, Baker shifted her focus to jazz; she sang and starred in musical comedies during the 1930s.  Her reputation exemplified the paradox of celebrity and subjection faced by many early-twentieth-century black entertainers: Baker attained significant economic and social power – she earned a fortune and was among the most photographed women in the world – but her performances also enabled audiences to project sexualized, primitivist fantasies onto her body. <br><br>Baker was also an antiracist activist. She joined the French resistance during World War II, and later visited the United States as an advocate for civil rights. Between 1954 and 1962, she adopted the 12 children of her “Rainbow Tribe,” whom she considered a living example of multiracial democratic harmony. Vibrant and complex, Baker remained an icon throughout her life; in the words of Ernest Hemingway, she was “the most sensational woman anybody ever saw. Or ever will.” "
8,9,Countée Cullen,08cullen.jpg,b08cullen.jpg,"<i>Photographed by Van Vechten June 20, 1941</i><br><br>The details of Countée Cullen’s early life are murky. He was born in either New York City or Louisville or Baltimore, and he may or may not have been adopted by the Methodist reverend Frederick A. Cullen. Cullen’s literary talent, however, was never in question. When he published his first collection of poetry, <i>Color</i>, at the age of 22, critics responded with copious praise. Alain Locke wrote: “Ladies and Gentlemen! A genius! Posterity will laugh at us if we do not proclaim him now.” <br><br>After receiving degrees from New York University and Harvard, Cullen became a well-respected poet. He amassed multiple poetry prizes, a Guggenheim fellowship, and widespread popularity. A’Lelia Walker, the Harlem heiress to a hair-products fortune, was inspired to name her famous literary salon “The Dark Tower” after one of Cullen’s poems. <br><br> In 1928, Cullen married Yolande Du Bois, the daughter of W. E. B. Du Bois. Their wedding was a highlight of the Harlem social calendar, but the marriage was a disaster that lasted not even two years. Cullen’s second marriage, to Ida Roberson, was more successful. Cullen and his best friend, Harold Jackman, also seem to have been lovers, and Cullen was likely part of the Harlem Renaissance’s underground yet expansive queer community. <br><br> As a poet, Cullen was interested in universal themes and skeptical of aesthetic frameworks that pigeonholed black poets by pandering to the primitivist expectations of white audiences. As he wrote in the introduction to an anthology he edited, <i>Caroling Dusk</i>, “The attempt to corral the outbursts of the ebony muse into some definite mold to which all poetry by Negroes will conform seems altogether futile and aside from the facts.” He also had a charming affection for cats: each of the children’s books he wrote (which are mostly about animals) listed his feline coauthor as Mr. Christopher Cat."
9,5,Arna Bontemps,09bontemps.jpg,b09bontemps.jpg,"<i>Photographed by Van Vechten August 13, 1939</i><br><br>A poet, novelist, anthologist, editor, and librarian, Arna Bontemps was a prolific and influential figure in African American letters. A friend to many Harlem Renaissance writers, he was embedded in the movement’s close-knit literary and intellectual networks.<br><br> Born in Louisiana, Bontemps grew up in Los Angeles and moved to Harlem after graduating from college. He quickly racked up poetry prizes from <i>Opportunity</i> and <i>The Crisis</i>, and befriended Langston Hughes, who would become a lifelong collaborator. In 1931, he moved to Huntsville, Alabama with his wife, Alberta Johnson, and their six children. There, he taught at Oakwood Junior College and continued to write. Many of his short stories from this period center on Southern themes and locales, and he was asked to ghostwrite fellow Alabamian W. C. Handy’s autobiography, <i>Father of the Blues</i>. Yet Bontemps also faced racially motivated hostility in the South; in later years, he would claim that he left Alabama after refusing an order to burn his copies of politically potent books by James Weldon Johnson, W. E. B. Du Bois, and Frederick Douglass. Shortly after leaving Alabama in 1936, Bontemps published the critically acclaimed <i>Black Thunder</i>, a historical novel about a Virginia slave rebellion that remains his best-known work. <br><br> Bontemps’s work as a librarian and archivist had perhaps even more of a lasting impact. After receiving a master’s degree in library science in 1943, he took a job as a librarian at Fisk University. He worked as head librarian at Fisk until 1964; under his guidance, the library became a key repository of African American culture. From 1969 to 1971, Bontemps served as a curator of the James Weldon Johnson Memorial Collection at Yale. He died suddenly in 1973, leaving behind a substantial literary legacy."
10,26,William Grant Still,10still.jpg,b10still.jpg,"<i>Photographed by Van Vechten March 12, 1949</i><br><br>William Grant Still stands among the most celebrated of early-twentieth-century African American composers. Born in Mississippi in 1895, Still grew up in Arkansas and attended Wilberforce University before moving to New York to pursue a musical career. As a young professional musician, he explored myriad stylistic milieus: he played in the pit orchestra for <i>Shuffle Along</i>, arranged tunes for W. C. Handy and Paul Whiteman, and studied under an array of mentors who included New England traditionalist George Chadwick and French modernist Edgar Varèse. <br><br> Still’s creative output was far more varied than is conveyed by his most frequently performed works. His famous <i>Afro-American Symphony</i> (1934), for instance, emphasizes recognizably “black” idioms and represents one of his more conservative compositions. But his lesser-known works demonstrate more fully the scope of his compositional voice, particularly his experimental willingness to venture outside racially marked styles and incorporate various modernist and Americanist tropes into his work. These include his nine operas, which range from <i>Troubled Island</i>, a dramatization of the Haitian Revolution (for which Langston Hughes provided a libretto) to <i>Highway 1, U.S.A.</i>, the tale of an American family running a gas station in the South during the 1940s. <br><br> Still received abundant honors for his work, including a Harmon Award and fellowships from the Guggenheim and Roosevelt foundations. Orchestras around the world have performed his compositions. He was also the first black composer to have his work performed by a major American opera company, as well as the first African American conductor of a major symphony orchestra. Yet despite his own successes, he remained frustrated with the relative lack of support afforded to black artists in general, and devoted much of his later career to advocating for more robust support of African American music."
